2023-06-26 02:44:30 INFO  - Send GET request to get all posts.
2023-06-26 02:45:15 INFO  - Sending get to fetch allposts response.
2023-06-26 03:19:20 INFO  - Sending GET Request to get all posts (/posts)..
2023-06-26 03:19:20 INFO  - Assessing conditions.
2023-06-26 03:19:20 INFO  - Getting the posts id's list.
2023-06-26 03:19:20 INFO  - Assessing conditions.
2023-06-26 03:19:20 INFO  - Sending GET request to get post with id=99 (/posts/99)..
2023-06-26 03:19:20 INFO  - Getting post object of id=99.
2023-06-26 03:19:21 INFO  - Assessing conditions.
2023-06-26 03:19:21 INFO  - Sending GET request to get post with id=150 (/posts/150).
2023-06-26 03:19:21 INFO  - Assessing conditions.
2023-06-26 03:19:21 INFO  - Sending POST request to create post with userId=1 and random body and random title (/posts).
2023-06-26 03:19:21 INFO  - Assessing status code is 201.
2023-06-26 03:19:21 INFO  - Assessing whether post information is correct: title, body, userId match data from request, id is present in response.
2023-06-26 03:19:21 INFO  - Sending GET request to get users (/users).
2023-06-26 03:19:21 INFO  - Assessing status code is 200.
2023-06-26 03:19:21 INFO  - Assessing list in response body is json.
2023-06-26 03:19:21 INFO  - Getting users id=5 list.
2023-06-26 03:19:21 INFO  - Assessing User (id=5) data matches.
2023-06-26 03:19:21 INFO  - Sending GET request to get user with id=5 (/users/5).
2023-06-26 03:19:21 INFO  - Assessing Status code is 200.
2023-06-26 03:19:21 INFO  - Assessing user data matches with user data in the previous step.
2023-06-26 04:09:14 INFO  - Sending GET Request to get all posts (/posts)..
2023-06-26 04:09:14 INFO  - Assessing Status code is 200..
2023-06-26 04:09:14 INFO  - Assessing the list in response body is json..
2023-06-26 04:09:14 INFO  - Getting the posts id's list.
2023-06-26 04:09:14 INFO  - Assessing posts are sorted ascending (by id)..
2023-06-26 04:09:14 INFO  - Sending GET request to get post with id=99 (/posts/99)..
2023-06-26 04:09:14 INFO  - Assessing Status code is 200..
2023-06-26 04:09:14 INFO  - Getting post object of id=99.
2023-06-26 04:09:14 INFO  - Assessing userId is 10.
2023-06-26 04:09:14 INFO  - Assessing id is 99.
2023-06-26 04:09:14 INFO  - Assessing title and body aren't empty..
2023-06-26 04:09:14 INFO  - Sending GET request to get post with id=150 (/posts/150).
2023-06-26 04:09:14 INFO  - Assessing Status code is 404..
2023-06-26 04:09:14 INFO  - Assessing response body is empty.
2023-06-26 04:09:14 INFO  - Getting post model.
2023-06-26 04:09:14 INFO  - Sending POST request to create post with userId=1 and random body and random title (/posts).
2023-06-26 04:09:14 INFO  - Assessing status code is 201.
2023-06-26 04:09:14 INFO  - Assessing whether post information is correct: title, body, userId match data from request, id is present in response.
2023-06-26 04:09:14 INFO  - Sending GET request to get users (/users).
2023-06-26 04:09:15 INFO  - Assessing status code is 200.
2023-06-26 04:09:15 INFO  - Assessing list in response body is json.
2023-06-26 04:09:15 INFO  - Getting users id=5 list.
2023-06-26 04:09:15 INFO  - Assessing User (id=5) data matches.
2023-06-26 04:09:15 INFO  - Sending GET request to get user with id=5 (/users/5).
2023-06-26 04:09:15 INFO  - Assessing Status code is 200.
2023-06-26 04:09:15 INFO  - Assessing user data matches with user data in the previous step.
2023-06-26 04:27:38 INFO  - Sending GET Request to get all posts (/posts)..
2023-06-26 04:27:39 INFO  - Assessing Status code is 200..
2023-06-26 04:27:39 INFO  - Assessing the list in response body is json..
2023-06-26 04:27:39 INFO  - Getting the posts id's list.
2023-06-26 04:27:39 INFO  - Assessing posts are sorted ascending (by id)..
2023-06-26 04:27:39 INFO  - Sending GET request to get post with id=99 (/posts/99)..
2023-06-26 04:27:39 INFO  - Assessing Status code is 200..
2023-06-26 04:27:39 INFO  - Getting post object of id=99.
2023-06-26 04:27:39 INFO  - Assessing userId is 10.
2023-06-26 04:27:39 INFO  - Assessing id is 99.
2023-06-26 04:27:39 INFO  - Assessing title and body aren't empty..
2023-06-26 04:27:39 INFO  - Sending GET request to get post with id=150 (/posts/150).
2023-06-26 04:27:39 INFO  - Assessing Status code is 404..
2023-06-26 04:27:39 INFO  - Assessing response body is empty.
2023-06-26 04:27:39 INFO  - Getting post model.
2023-06-26 04:27:39 INFO  - Sending POST request to create post with userId=1 and random body and random title (/posts).
2023-06-26 04:27:39 INFO  - Assessing status code is 201.
2023-06-26 04:27:39 INFO  - Assessing whether post information is correct: title, body, userId match data from request, id is present in response.
2023-06-26 04:27:39 INFO  - Sending GET request to get users (/users).
2023-06-26 04:27:39 INFO  - Assessing status code is 200.
2023-06-26 04:27:39 INFO  - Assessing list in response body is json.
2023-06-26 04:27:39 INFO  - Getting users id=5 list.
2023-06-26 04:27:39 INFO  - Assessing User (id=5) data matches.
2023-06-26 04:27:39 INFO  - Sending GET request to get user with id=5 (/users/5).
2023-06-26 04:27:39 INFO  - Assessing Status code is 200.
2023-06-26 04:27:39 INFO  - Assessing user data matches with user data in the previous step.
2023-06-26 14:47:27 INFO  - Sending GET Request to get all posts (/posts)..
2023-06-26 14:47:28 INFO  - Assessing Status code is 200..
2023-06-26 14:47:28 INFO  - Assessing the list in response body is json..
2023-06-26 14:47:28 INFO  - Getting the posts id's list.
2023-06-26 14:47:28 INFO  - Assessing posts are sorted ascending (by id)..
2023-06-26 14:47:28 INFO  - Sending GET request to get post with id=99 (/posts/99)..
2023-06-26 14:47:28 INFO  - Assessing Status code is 200..
2023-06-26 14:47:28 INFO  - Getting post object of id=99.
2023-06-26 14:47:28 INFO  - Assessing userId is 10.
2023-06-26 14:47:28 INFO  - Assessing id is 99.
2023-06-26 14:47:28 INFO  - Assessing title and body aren't empty..
2023-06-26 14:47:28 INFO  - Sending GET request to get post with id=150 (/posts/150).
2023-06-26 14:47:28 INFO  - Assessing Status code is 404..
2023-06-26 14:47:28 INFO  - Assessing response body is empty.
2023-06-26 14:47:28 INFO  - Getting post model.
2023-06-26 14:47:28 INFO  - Sending POST request to create post with userId=1 and random body and random title (/posts).
2023-06-26 14:47:28 INFO  - Assessing status code is 201.
2023-06-26 14:47:28 INFO  - Assessing whether post information is correct: title, body, userId match data from request, id is present in response.
2023-06-26 14:47:28 INFO  - Sending GET request to get users (/users).
2023-06-26 14:47:28 INFO  - Assessing status code is 200.
2023-06-26 14:47:28 INFO  - Assessing list in response body is json.
2023-06-26 14:47:28 INFO  - Getting users id=5 list.
2023-06-26 14:47:28 INFO  - Assessing User (id=5) data matches.
2023-06-26 14:47:28 INFO  - Sending GET request to get user with id=5 (/users/5).
2023-06-26 14:47:28 INFO  - Assessing Status code is 200.
2023-06-26 14:47:28 INFO  - Assessing user data matches with user data in the previous step.
2023-06-26 14:52:20 INFO  - Sending GET Request to get all posts (/posts)..
2023-06-26 14:52:21 INFO  - Assessing Status code is 200..
2023-06-26 14:52:21 INFO  - Assessing the list in response body is json..
2023-06-26 14:52:21 INFO  - Getting the posts id's list.
2023-06-26 14:52:21 INFO  - Assessing posts are sorted ascending (by id)..
2023-06-26 14:52:21 INFO  - Sending GET request to get post with id=99 (/posts/99)..
2023-06-26 14:52:21 INFO  - Assessing Status code is 200..
2023-06-26 14:52:21 INFO  - Getting post object of id=99.
2023-06-26 14:52:21 INFO  - Assessing userId is 10.
2023-06-26 14:52:21 INFO  - Assessing id is 99.
2023-06-26 14:52:21 INFO  - Assessing title and body aren't empty..
2023-06-26 14:52:21 INFO  - Sending GET request to get post with id=150 (/posts/150).
2023-06-26 14:52:21 INFO  - Assessing Status code is 404..
2023-06-26 14:52:21 INFO  - Assessing response body is empty.
2023-06-26 14:52:21 INFO  - Getting post model.
2023-06-26 14:52:21 INFO  - Sending POST request to create post with userId=1 and random body and random title (/posts).
2023-06-26 14:52:21 INFO  - Assessing status code is 201.
2023-06-26 14:52:21 INFO  - Assessing whether post information is correct: title, body, userId match data from request, id is present in response.
2023-06-26 14:52:21 INFO  - Sending GET request to get users (/users).
2023-06-26 14:52:21 INFO  - Assessing status code is 200.
2023-06-26 14:52:21 INFO  - Assessing list in response body is json.
2023-06-26 14:52:21 INFO  - Getting users id=5 list.
2023-06-26 14:52:21 INFO  - Assessing User (id=5) data matches.
2023-06-26 14:52:21 INFO  - Sending GET request to get user with id=5 (/users/5).
2023-06-26 14:52:21 INFO  - Assessing Status code is 200.
2023-06-26 14:52:21 INFO  - Assessing user data matches with user data in the previous step.
2023-06-26 15:04:36 INFO  - Sending GET Request to get all posts (/posts)..
2023-06-26 15:04:36 INFO  - Assessing Status code is 200..
2023-06-26 15:04:36 INFO  - Assessing the list in response body is json..
2023-06-26 15:04:36 INFO  - Getting the posts id's list.
2023-06-26 15:04:36 INFO  - Assessing posts are sorted ascending (by id)..
2023-06-26 15:04:36 INFO  - Sending GET request to get post with id=99 (/posts/99)..
2023-06-26 15:04:36 INFO  - Assessing Status code is 200..
2023-06-26 15:04:36 INFO  - Getting post object of id=99.
2023-06-26 15:04:36 INFO  - Assessing userId is 10.
2023-06-26 15:04:36 INFO  - Assessing id is 99.
2023-06-26 15:04:36 INFO  - Assessing title and body aren't empty..
2023-06-26 15:04:36 INFO  - Sending GET request to get post with id=150 (/posts/150).
2023-06-26 15:04:36 INFO  - Assessing Status code is 404..
2023-06-26 15:04:36 INFO  - Assessing response body is empty.
2023-06-26 15:04:36 INFO  - Getting post model.
2023-06-26 15:04:36 INFO  - Sending POST request to create post with userId=1 and random body and random title (/posts).
2023-06-26 15:04:36 INFO  - Assessing status code is 201.
2023-06-26 15:04:36 INFO  - Assessing whether post information is correct: title, body, userId match data from request, id is present in response.
2023-06-26 15:04:36 INFO  - Sending GET request to get users (/users).
2023-06-26 15:04:36 INFO  - Assessing status code is 200.
2023-06-26 15:04:36 INFO  - Assessing list in response body is json.
2023-06-26 15:04:36 INFO  - Getting users id=5 list.
2023-06-26 15:04:36 INFO  - Assessing User (id=5) data matches.
2023-06-26 15:04:36 INFO  - Sending GET request to get user with id=5 (/users/5).
2023-06-26 15:04:37 INFO  - Assessing Status code is 200.
2023-06-26 15:04:37 INFO  - Assessing user data matches with user data in the previous step.
2023-06-26 15:05:28 INFO  - Sending GET Request to get all posts (/posts)..
2023-06-26 15:05:28 INFO  - Assessing Status code is 200..
2023-06-26 15:05:28 INFO  - Assessing the list in response body is json..
2023-06-26 15:05:28 INFO  - Getting the posts id's list.
2023-06-26 15:05:28 INFO  - Assessing posts are sorted ascending (by id)..
2023-06-26 15:05:28 INFO  - Sending GET request to get post with id=99 (/posts/99)..
2023-06-26 15:05:28 INFO  - Assessing Status code is 200..
2023-06-26 15:05:28 INFO  - Getting post object of id=99.
2023-06-26 15:05:28 INFO  - Assessing userId is 10.
2023-06-26 15:05:28 INFO  - Assessing id is 99.
2023-06-26 15:05:28 INFO  - Assessing title and body aren't empty..
2023-06-26 15:05:28 INFO  - Sending GET request to get post with id=150 (/posts/150).
2023-06-26 15:05:28 INFO  - Assessing Status code is 404..
2023-06-26 15:05:28 INFO  - Assessing response body is empty.
2023-06-26 15:05:28 INFO  - Getting post model.
2023-06-26 15:05:28 INFO  - Sending POST request to create post with userId=1 and random body and random title (/posts).
2023-06-26 15:05:29 INFO  - Assessing status code is 201.
2023-06-26 15:05:29 INFO  - Assessing whether post information is correct: title, body, userId match data from request, id is present in response.
2023-06-26 15:05:29 INFO  - Sending GET request to get users (/users).
2023-06-26 15:05:29 INFO  - Assessing status code is 200.
2023-06-26 15:05:29 INFO  - Assessing list in response body is json.
2023-06-26 15:05:29 INFO  - Getting users id=5 list.
2023-06-26 15:05:29 INFO  - Assessing User (id=5) data matches.
2023-06-26 15:05:56 INFO  - Sending GET Request to get all posts (/posts)..
2023-06-26 15:05:57 INFO  - Assessing Status code is 200..
2023-06-26 15:05:57 INFO  - Assessing the list in response body is json..
2023-06-26 15:05:57 INFO  - Getting the posts id's list.
2023-06-26 15:05:57 INFO  - Assessing posts are sorted ascending (by id)..
2023-06-26 15:05:57 INFO  - Sending GET request to get post with id=99 (/posts/99)..
2023-06-26 15:05:57 INFO  - Assessing Status code is 200..
2023-06-26 15:05:57 INFO  - Getting post object of id=99.
2023-06-26 15:05:57 INFO  - Assessing userId is 10.
2023-06-26 15:05:57 INFO  - Assessing id is 99.
2023-06-26 15:05:57 INFO  - Assessing title and body aren't empty..
2023-06-26 15:05:57 INFO  - Sending GET request to get post with id=150 (/posts/150).
2023-06-26 15:05:57 INFO  - Assessing Status code is 404..
2023-06-26 15:05:57 INFO  - Assessing response body is empty.
2023-06-26 15:05:57 INFO  - Getting post model.
